"GO","Num","Num_CUB","Num_non","wilcox_greater","wilcox_less"
"GO.0006418_sig.tRNA.aminoacylation.for.protein.translat...","164","55","109","5.35519422551014e-16","0.999999999999999"
"GO.0006520_sig.cellular.amino.acid.metabolic.process","157","53","104","4.04286058188573e-10","0.999999999605062"
"GO.0010467_sig.gene.expression","150","49","101","1.89635216938451e-12","0.999999999998157"
"GO.0046034_sig.ATP.metabolic.process","165","40","125","1.37344245815986e-08","0.999999986561588"
"GO.0006457_sig.protein.folding","171","19","152","2.15104968585788e-05","0.999978940986352"
"GO.0006399_sig.tRNA.metabolic.process","179","19","160","8.91488445023551e-08","0.999999913078915"
"GO.0006793_sig.phosphorus.metabolic.process","175","18","157","1.79922492230652e-06","0.999998243013731"
"GO.0019637_sig.organophosphate.metabolic.process","178","18","160","4.75671110174026e-06","0.99999534856467"
"GO.0019439_sig.aromatic.compound.catabolic.process","195","18","177","1.975348127297e-07","0.999999806967265"
"GO.0055085_sig.transmembrane.transport","184","7","177","0.645333312321573","0.357364012340801"
"GO.0006811_sig.ion.transport","190","4","186","0.143146231859983","0.858920593686448"
"GO.0015986_sig.ATP.synthesis.coupled.proton.transport","191","3","188","0.0244765062088404","0.976121822941385"
"GO.0042254_sig.ribosome.biogenesis","197","6","191","0.00170599700481199","0.998333494334868"
"GO.0006139_sig.nucleobase.containing.compound.metabolic...","192","1","191","0.046624360893071","0.955109359043978"
"GO.0006790_sig.sulfur.compound.metabolic.process","197","2","195","0.0123964162949721","0.987998633506232"
"GO.0006265_sig.DNA.topological.change","202","1","201","0.0534239751454652","0.948415274863964"
"GO.0006996_sig.organelle.organization","200","1","199","0.0545127814827131","0.947374586407739"
"GO.1901362_sig.organic.cyclic.compound.biosynthetic.pro...","200","1","199","0.537958312533513","0.468927672926337"
"GO.0010608_sig.posttranscriptional.regulation.of.gene.e...","205","2","203","0.00973350499027174","0.990574060532455"
"GO.0019438_sig.aromatic.compound.biosynthetic.process","201","1","200","0.548026360838559","0.45880807612447"
"GO.0051186_sig.cofactor.metabolic.process","201","1","200","0.561652056417905","0.445152136207158"
"GO.0006396_sig.RNA.processing","204","1","203","0.466158355476108","0.540588522986587"
"GO.0018130_sig.heterocycle.biosynthetic.process","202","1","201","0.544390766731844","0.462416501005462"
"GO.0051188_sig.cofactor.biosynthetic.process","203","1","202","0.561048282466493","0.445690168350197"
"GO.0006310_sig.DNA.recombination","206","1","205","0.730382662420428","0.275203750725489"
"GO.0006417_sig.regulation.of.translation","206","1","205","0.0540898162175442","0.94773206466534"
"GO.0050896_sig.response.to.stimulus","208","1","207","0.562875434839865","0.443696313783003"
"GO.0000027_sig.ribosomal.large.subunit.assembly","184","4","180","0.00794086524364912","0.992263546210517"
"GO.0000028_sig.ribosomal.small.subunit.assembly","24","1","23","0.123746802290298","0.903373507325764"
"GO.0001539_sig.cilium.or.flagellum.dependent.cell.motil...","101","2","99","0.691424985949991","0.317212285615016"
"GO.0005975_sig.carbohydrate.metabolic.process","189","7","182","0.00149485127915691","0.998539054723121"
"GO.0006066_sig.alcohol.metabolic.process","189","1","188","0.179635478029113","0.825129107085331"
"GO.0006094_sig.gluconeogenesis","198","7","191","0.000187483331303375","0.999817252520238"
"GO.0006096_sig.glycolytic.process","193","34","159","5.68422195537694e-15","0.999999999999994"
"GO.0006099_sig.tricarboxylic.acid.cycle","147","23","124","2.89092387733508e-05","0.999971738502508"
"GO.0006101_sig.citrate.metabolic.process","147","23","124","2.89092387733508e-05","0.999971738502508"
"GO.0006119_sig.oxidative.phosphorylation","145","6","139","0.654402525405848","0.349265915089635"
"GO.0006120_sig.mitochondrial.electron.transport..NADH.t...","33","1","32","0.0778673405761611","0.936335123009966"
"GO.0006508_sig.proteolysis","196","1","195","0.13079134062726","0.872927217000762"
"GO.0006525_sig.arginine.metabolic.process","191","1","190","0.209741762351097","0.795444637012768"
"GO.0006631_sig.fatty.acid.metabolic.process","190","5","185","0.0371530736327338","0.963510916502208"
"GO.0006865_sig.amino.acid.transport","175","1","174","0.601572234607482","0.406088963010882"
"GO.0006935_sig.chemotaxis","116","1","115","0.724903388530672","0.285154295095493"
"GO.0008643_sig.carbohydrate.transport","170","1","169","0.451329767394735","0.556730963670755"
"GO.0009060_sig.aerobic.respiration","147","21","126","0.000103598373069464","0.999898644491438"
"GO.0009061_sig.anaerobic.respiration","64","4","60","0.691286047842625","0.318552965237325"
"GO.0009071_sig.serine.family.amino.acid.catabolic.proce...","154","2","152","0.0209010153907611","0.979888439894744"
"GO.0009266_sig.response.to.temperature.stimulus","190","1","189","0.0573318570653003","0.944734495951314"
"GO.0009408_sig.response.to.heat","190","1","189","0.0573317777036962","0.94473457394058"
"GO.0009767_sig.photosynthetic.electron.transport.chain","14","1","13","0.5","0.598171270562941"
"GO.0009772_sig.photosynthetic.electron.transport.in.pho...","14","1","13","0.5","0.598065299727351"
"GO.0015947_sig.methane.metabolic.process","16","4","12","0.524174615048999","0.524174615048999"
"GO.0015948_sig.methanogenesis","16","4","12","0.524174615048999","0.524174615048999"
"GO.0015975_sig.energy.derivation.by.oxidation.of.reduce...","16","4","12","0.524174615048999","0.524174615048999"
"GO.0015979_sig.photosynthesis","32","4","28","0.983747018842057","0.0187116459569293"
