GO,Num,Num_CUB,Num_non,wilcox_greater,FDR_greater,wilcox_less,FDR_lower
GO.0006418_sig.tRNA.aminoacylation.for.protein.translat...,164,55,109,5.36E-16,4.50E-14,1,1
GO.0006520_sig.cellular.amino.acid.metabolic.process,157,53,104,4.04E-10,6.79E-09,1,1
GO.0010467_sig.gene.expression,150,49,101,1.90E-12,3.98E-11,1,1
GO.0046034_sig.ATP.metabolic.process,165,40,125,1.37E-08,1.92E-07,0.999999987,1
GO.0006457_sig.protein.folding,171,19,152,2.15E-05,0.000164262,0.999978941,1
GO.0006399_sig.tRNA.metabolic.process,179,19,160,8.91E-08,1.07E-06,0.999999913,1
GO.0006793_sig.phosphorus.metabolic.process,175,18,157,1.80E-06,1.68E-05,0.999998243,1
GO.0019637_sig.organophosphate.metabolic.process,178,18,160,4.76E-06,4.00E-05,0.999995349,1
GO.0019439_sig.aromatic.compound.catabolic.process,195,18,177,1.98E-07,2.07E-06,0.999999807,1
GO.0055085_sig.transmembrane.transport,184,7,177,0.645333312,0.72277331,0.357364012,1
GO.0006811_sig.ion.transport,190,4,186,0.143146232,0.250505906,0.858920594,1
GO.0015986_sig.ATP.synthesis.coupled.proton.transport,191,3,188,0.024476506,0.07614913,0.976121823,1
GO.0042254_sig.ribosome.biogenesis,197,6,191,0.001705997,0.006823988,0.998333494,1
GO.0006139_sig.nucleobase.containing.compound.metabolic...,192,1,191,0.046624361,0.130548211,0.955109359,1
GO.0006790_sig.sulfur.compound.metabolic.process,197,2,195,0.012396416,0.043387457,0.987998634,1
GO.0006265_sig.DNA.topological.change,202,1,201,0.053423975,0.131576687,0.948415275,1
GO.0006996_sig.organelle.organization,200,1,199,0.054512781,0.131576687,0.947374586,1
GO.1901362_sig.organic.cyclic.compound.biosynthetic.pro...,200,1,199,0.537958313,0.656688007,0.468927673,1
GO.0010608_sig.posttranscriptional.regulation.of.gene.e...,205,2,203,0.009733505,0.035548453,0.990574061,1
GO.0019438_sig.aromatic.compound.biosynthetic.process,201,1,200,0.548026361,0.656688007,0.458808076,1
GO.0051186_sig.cofactor.metabolic.process,201,1,200,0.561652056,0.656688007,0.445152136,1
GO.0006396_sig.RNA.processing,204,1,203,0.466158355,0.656688007,0.540588523,1
GO.0018130_sig.heterocycle.biosynthetic.process,202,1,201,0.544390767,0.656688007,0.462416501,1
GO.0051188_sig.cofactor.biosynthetic.process,203,1,202,0.561048282,0.656688007,0.445690168,1
